ID,CompPre,VisualsPre,WritingPre,PresPre,StatsPre,ReadPre,CritiquePre,PartPre,ConBecPre,PrepPre,ConNavPre,ContactPre,CompPost,VisualsPost,WritingPost,PresPost,StatsPost,ReadPost,CritiquePost,PartPost,ConBecPost,PrepPost,ConNavPost,ContactPost,Comp,Visuals,Writing,Pres,Stats,Read,Critique,Part,ConBec,Prep,ConNav,Contact
86,1,3,3,3,1,3,2,3,4,4,3,3,3,NaN,NaN,3,3,NaN,NaN,NaN,4,5,4,3,2,NaN,NaN,0,2,NaN,NaN,NaN,0,1,1,0
87,2,2,3,3,2,3,3,3,4,3,4,5,3,2,3,3,3,4,4,4,4,4,5,4,1,0,0,0,1,1,1,1,0,1,1,-1
88,2,2,2,1,2,2,1,1,3,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,2,1,1,2,2,1,2,2,2
89,1,2,3,1,1,1,2,1,2,3,5,4,NaN,3,3,3,3,3,3,3,4,5,4,4,NaN,1,0,2,2,2,1,2,2,2,-1,0
90,1,2,2,2,3,2,1,3,3,2,3,4,2,4,3,2,4,3,3,4,3,3,2,5,1,2,1,0,1,1,2,1,0,1,-1,1
91,3,2,2,2,2,3,2,1,3,3,3,3,3,2,2,2,2,3,2,3,3,3,3,5,0,0,0,0,0,0,0,2,0,0,0,2
92,1,4,4,3,2,4,3,4,3,3,5,3,NaN,1,2,1,4,4,4,3,3,3,5,4,NaN,-3,-2,-2,2,0,1,-1,0,0,0,1
93,1,3,2,2,2,3,3,3,3,3,3,2,2,2,2,NaN,2,2,3,NaN,3,3,3,2,1,-1,0,NaN,0,-1,0,NaN,0,0,0,0
94,1,2,2,2,2,2,2,1,5,3,3,4,2,4,3,3,2,3,3,4,5,3,4,4,1,2,1,1,0,1,1,3,0,0,1,0
95,1,2,3,2,2,3,2,2,2,3,3,2,NaN,4,3,3,3,4,4,4,4,4,5,4,NaN,2,0,1,1,1,2,2,2,1,2,2
96,3,3,2,2,3,2,2,3,3,2,4,1,3,4,3,3,3,4,4,4,5,4,5,3,0,1,1,1,0,2,2,1,2,2,1,2
97,1,3,3,3,3,3,3,4,5,4,5,2,3,4,3,3,4,4,4,4,5,4,5,2,2,1,0,0,1,1,1,0,0,0,0,0
98,1,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,3,2,2,4,3,5,4,2,-1,0,0,1,0,0,0,1,1,3,2
99,2,3,2,3,2,3,2,2,3,2,3,3,3,3,3,4,2,4,3,3,4,3,4,4,1,0,1,1,0,1,1,1,1,1,1,1
100,1,3,1,3,3,2,2,3,3,3,4,2,2,3,3,3,3,3,3,4,4,5,4,5,1,0,2,0,0,1,1,1,1,2,0,3
101,2,2,3,3,3,3,3,3,3,1,4,1,NaN,4,4,4,NaN,4,4,4,5,4,5,5,NaN,2,1,1,NaN,1,1,1,2,3,1,4
102,1,3,2,3,1,3,2,2,3,3,4,4,2,3,3,4,3,4,3,3,4,4,4,3,1,0,1,1,2,1,1,1,1,1,0,-1
103,1,3,3,2,3,2,1,2,4,3,2,2,2,3,3,3,3,3,3,3,4,4,4,4,1,0,0,1,0,1,2,1,0,1,2,2
104,2,3,2,1,3,2,1,2,4,4,4,5,2,1,3,2,1,1,1,1,4,4,5,4,0,-2,1,1,-2,-1,0,-1,0,0,1,-1
105,2,3,3,3,2,3,3,3,3,3,4,4,1,3,4,3,3,3,4,4,4,3,3,3,-1,0,1,0,1,0,1,1,1,0,-1,-1
106,1,2,1,2,1,2,2,2,2,2,3,5,2,3,2,2,2,3,3,2,4,3,4,5,1,1,1,0,1,1,1,0,2,1,1,0
107,4,3,3,2,3,3,3,3,1,2,3,2,4,3,3,3,4,4,3,3,2,2,4,2,0,0,0,1,1,1,0,0,1,0,1,0
108,1,3,3,3,2,3,3,3,2,2,3,3,NaN,3,3,3,4,4,4,4,4,4,3,4,NaN,0,0,0,2,1,1,1,2,2,0,1
109,1,3,4,3,3,3,3,2,5,4,5,3,3,4,4,3,4,3,4,4,4,5,5,5,2,1,0,0,1,0,1,2,-1,1,0,2
110,1,3,3,3,3,3,3,3,4,2,4,3,2,4,4,4,3,4,3,3,3,4,4,3,1,1,1,1,0,1,0,0,-1,2,0,0
111,3,3,3,4,3,3,3,4,5,4,4,3,3,3,1,3,3,3,3,3,4,4,4,4,0,0,-2,-1,0,0,0,-1,-1,0,0,1
